Квартира;Цена;Цена за кв. м.;Адрес;Описание;Метро;ФотоСсылка
2-комн. квартира, 46 м², 5/9 эт.;11 630 000 ₽;252 826 ₽ за м²;Москва, 3-я Гражданская улица, 2;Один собственник. Все документы готовы к сделке. Металлическая дверь в большую комнату. Охрана квартиры, добрые соседи. Интернет, WI-FI роутер . Звоните или пишите. На сообщения с сайта отвечаю не сразу. Риелтор уже есть.;Белокаменная 1.8 км;https://st84.domofond.ru/image/1/bcJ8I7axUyrIAMnpzWB1qlbcwyvOlscp;https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-moskva-3336610640
3-комн. квартира, 63.3 м², 10/41 эт.;33 224 081 ₽;524 867 ₽ за м²;1-й Сетуньский пр-д, вл. 6-10;Прямая продажа от застройщика!Продаётся 3-к квартира 63.3 кв.м. с предчистовой отделкой в ЖК «Hide» на 10-м этаже 41 этажного дома.Новый архитектурный акцент города — комплекс Hide от MR Group. Уникальные корпуса с выдающейся архитектурой и потрясающими видами открывают новую страницу премиальной жизни в Москве.Hide расположен рядом с Воробьевской набережной, по которой можно быстро доехать в центр или прогуляться до парка Горького.Для жителей предусмотрен собственный благоустроенный вход в парк Долины реки Сетунь.Новый фантастический проект комплекса Hide объединяет всё необходимое для комфортабельного проживания. Модный и динамичный снаружи и потрясающе удобный внутри, — он охраняет покой и уединенность своих жителей.В общественных пространствах башен предусмотрены:— Собственный парк— Гостиная с мини-кухней— Lounge-зона с камином— Терраса с зоной для пикника— Переговорные комнаты— Зал для фитнеса с душевымиРасположение комплекса:— 2 минуты до ТТК— 5 минут до Кутузовского проспекта— 8 минут до Садового кольца;Студенческая 882 м;https://st91.domofond.ru/image/1/StHzEraxdDlHMe76Qh8C7rvm5DhBp-A6;https://www.domofond.ru/3-komnatnaya-kvartira-na-prodazhu-moskva-3959844930
Квартира-студия, 18.7 м², 4/5 эт.;6 200 000 ₽;331 551 ₽ за м²;Москва, Гостиничный проезд, 8к1;ПОМОЩЬ АГЕНТОВ НЕ ТРЕБУЕТСЯ! Продаётся отличная студия, полностью готовая как для собственного проживания, так и под арендный бизнес. Сейчас сдаётся за 55000р./месяц! Это Апартаменты- поэтому прописка невозможна, использовать мат.капитал нельзя. НЕ ДОЛЯ! Есть отдельный Кадастровый номер.Все, что на фото, остаётся покупателю. Отличная транспортная доступность: до метро Окружная, МЦК Окружная и аэроэкспресса в Шереметьево 2 минуты пешком! Красивое сталинское здание после полной реконструкции: произведена полная замена коммуникацией, есть лифт, красивые общие зоны, ресепшн, круглосуточная охрана и видеонаблюдение, огороженная территория, высота потолков 3м. В здании есть бильярдная, тренажёрный зал, аэрохоккей и хамам- можно спуститься прямо в тапочках! Бесплатно для жильцов. В студии новая мебель и вся техника. Окна во двор. Подходит под ипотеку.;Окружная 128 м;https://st43.domofond.ru/image/1/1uhkjrax6ADQrXLD1bu42yBxeAHWO3wD;https://www.domofond.ru/kvartira-na-prodazhu-moskva-4427303525
2-комн. квартира, 47.3 м², 2/41 эт.;20 315 350 ₽;429 500 ₽ за м²;1-й Сетуньский пр-д, вл. 6-10;Прямая продажа от застройщика!Продаётся 2-к квартира 47.3 кв.м. с предчистовой отделкой в ЖК «Hide» на 2-м этаже 41 этажного дома.Новый архитектурный акцент города — комплекс Hide от MR Group. Уникальные корпуса с выдающейся архитектурой и потрясающими видами открывают новую страницу премиальной жизни в Москве.Hide расположен рядом с Воробьевской набережной, по которой можно быстро доехать в центр или прогуляться до парка Горького.Для жителей предусмотрен собственный благоустроенный вход в парк Долины реки Сетунь.Новый фантастический проект комплекса Hide объединяет всё необходимое для комфортабельного проживания. Модный и динамичный снаружи и потрясающе удобный внутри, — он охраняет покой и уединенность своих жителей.В общественных пространствах башен предусмотрены:— Собственный парк— Гостиная с мини-кухней— Lounge-зона с камином— Терраса с зоной для пикника— Переговорные комнаты— Зал для фитнеса с душевымиРасположение комплекса:— 2 минуты до ТТК— 5 минут до Кутузовского проспекта— 8 минут до Садового кольца;Студенческая 837 м;https://st89.domofond.ru/image/1/MAngZ7axDuFURJQiUR5NN6iTnuBS0pri;https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-moskva-3959850674
3-комн. квартира, 98.07 м²;31 829 599 ₽;324 560 ₽ за м²;ул. Княжнина/пер. Солдатский;Новостройка бизнес-класса расположена в престижном историческом районе недалеко от реки Яуза. В ее концепции воплощены все преимущества респектабельной застройки: привилегированный уровень сервиса, новейшие системы безопасности с системой контроля допуска, двухуровневый подземный паркинг и уникальное благоустройство территории.На первых этажах нового корпуса предусмотрены коммерческие помещения под целевую аренду, где в будущем для жителей откроются уютные кафе, тематические рестораны, магазины и бытовые службы.Рядом с ЖК «Лефорт» открыт транспортно-пересадочный узел, который включает в себя не только новую станцию метро «Лефортово», но и остановки наземного транспорта, автомобильную стоянку.;Сортировочная 1.0 км;https://st66.domofond.ru/image/1/Nxmm6raxPfESyZMyF51Oc5ARmfAUX53y;https://www.domofond.ru/3-komnatnaya-kvartira-zhk_lefort-moskva-u1004540206
4-комн. квартира, 175 м², 5/9 эт.;103 000 000 ₽;588 571 ₽ за м²;Москва, Ленинградский проспект, 36с39;"Продаются просторные и светлые апартаменты в Жилищном комплексе ""ВТБ Арена Парк"" с прекрасными видовыми характеристиками. Апартаменты имеют распашную планировку, поэтому из зоны гостиной вы сможете любоваться видом на Петровский парк с вековыми деревьями, а из окон спален открывается вид на зелёный внутренний двор с достойным ландшафтным дизайном. Панорамные окна обеспечивают отличную инсоляцию и визуально расширяют пространство апартамента.Общая площадь апартамента 175 кв. м распланирована нашим дизайном до мелочей таким образом, что каждый квадратный сантиметр апартамента трудится на создание комфортной и гармоничной среды для его жильцов: три отдельные спальни со своими санузлами и гардеробными комнатами, а также просторная кухня-гостиная около 45 кв. м с роскошной зоной для приёма гостей и радостных семейных застолий. Стоит также отметить, что нами создано много зон для хранения: помимо гардеробных комнат в спальнях, в прихожей и на кухне также разместились целые системы из встроенных шкафов.Кондиционеры, тёплый пол, техника ведущих мировых брендов. В ванной и санузлах установлена высококачественная современная сантехника.Отделка в современном стиле с использованием дерева элитных пород, итальянской керамики, венецианской штукатурки. Территория всего комплекса тщательно охраняется, ведется видеонаблюдение, при входе Вас круглосуточно встречает доброжелательный и внимательный консьерж. Бесшумные лифты и премиальная отделка входных групп. Просторный многоуровневый подземный паркинг. Жилой комплекс ВТБ Арена Парк находится всего в 5-ти километрах от Центрального административного округа Москвы по адресу Ленинградский проспект, 36. Концепция комплекса была разработана архитектурным бюро ""SPEECH Чобан и Кузнецов"". Жилой комплекс представляет собой архитектурный ансамбль из 6 корпусов переменной этажности с богатыми фасадами из натурального камня, и образующих внутренний двор площадью 1,5 га с красивым ландшафтом. На территории комплекса расположены площадки для занятий спортом. К шим услугам вся инфраструктура близ стоящего пятизвёздочного отеля Hyatt Regency: СПА-комплекс, бассейн, рестораны и прочее. Вход в спортивный клуб Orang по специальной цене для жителей нашего комплекса. В пешей доступности находится Спортивный парк ""Динамо"", один из самых старых парков столицы - Петровский парк, ТЦ ""Арена Плаза"". Развитая транспортная доступность, удобный выезд на ТТК и Ленинградский проспект, на автомобиле 15 минут до Красной площади или до делового центра Москва - Сити.ОПЕРАТИВНЫЙ ПОКАЗ и ВЫХОД НА СДЕЛКУ. В ПРОДАЖЕ ИМЕЕТСЯ МАШИНОМЕСТО  и помещение для хранения вещей в подземной части здания за дополнительную стоимость.";Динамо 569 м;https://st58.domofond.ru/image/1/l9lQ1LaxqTHk9zPy4eOAsBAsOTDiYT0y;https://www.domofond.ru/4-komnatnaya-kvartira-na-prodazhu-moskva-4354885129
1-комн. квартира, 32 м², 2/9 эт.;10 500 000 ₽;328 125 ₽ за м²;Москва, Онежская улица, 27;Здравствуйте! Если Вы читаете это объявление - то значит Вы читаете непосредственно объявление собственника квартиры. Данная квартира также продаётся через агентства. С собственником сотрудничать выгоднее. В квартире все новое, абсолютно, выполнен капитальнейший ремонт, расчищалось и выносилось ВСЁ, кроме капитальных стен,  заменена электропроводка, сантехнические трубы, окна, трубы стояка. Все очень продумано до мелочей, функционально и удобно, каждый сантиметр площади, каждая розетка рассчитаны, так чтобы  служить Вам. Удобная  кухня с  длинной рабочей поверхностью для готовки, премиальная техника с классом энергосбережения А++, мощный кондиционер. Широкие подоконники из толстенного деревянного массива. Большой, вместительный  шкаф, во всю стену до потолка для хранения вещей. В коридоре сделана мини гардеробная с антресолью. Дверь с шумоизоляцией, Вас не услышат, если Вы захотите поговорить через дверь, не услышат если включите громко музыку. Шумоизоляция отличная. Не спрашивайте про соседей, их не слышно вообще. Квартира рядом с метро Водный стадион и Коптево, остановка в 3 минутах ходьбы, автобусы и маршрутки курсируют постоянно. До Водного стадиона приятно ходить пешком, кругом зелень, высокие деревья, плюс это та самая, необходимая для здоровья физическая активность в кайф. Зелёный район, рядом парки, пруды, площадки, сильнейшая в рейтинге Московских школ 1576, собственно из-за неё мы жили здесь, во дворе дома (3 минуты) музыкальная школа, детский сад, окна выходят во двор, смотрите на фото и получайте удовольствие. Про подъезд - он чистый и опрятный, никаких посторонних запахов  и мусора, жильцы оставляют на первом этаже коляски и велосипеды. Жильцы в доме дружелюбные, благополучные. Ремонт это всегда бездонная яма для траты времени, денег, нервов, в этой квартире у вас этих забот не будет! Время бесценный, самый дорогой ресурс! Покупай время, покупай жизнь! Заезжай и живи. Наслаждайся жизнью. Все сделано для тебя! Собственник один - физлицо, куплена по ДКП от 07.06.2017 года, за наличный расчёт. В квартире никто не прописан. Обременений нет, подводных камней нет. Прозрачная юридическая история.;Моссельмаш 1.2 км;https://st31.domofond.ru/image/1/9lKRyraxyLol6VJ5IL_IPZ4xWLsjf1y5;https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-moskva-4074672917
3-комн. квартира, 80.6 м², 11/12 эт.;33 900 000 ₽;420 596 ₽ за м²;Москва, Большая Филёвская улица, 16;Лучшее предложение в комплексе! Продаётся квартира в престижном районе. Один взрослый собственник, никто не прописан, юридическая чистая. Удобная планировка, распашонка. Квартира готова к заселению. В квартире сделан ремонт. Встроенная кухня, встроенная техника: духовой шкаф, варочная панель. Остается холодильник. Большая, просторная лоджия, кондиционер. Окна квартиры имеют шикарный вид на Филёвский парк и Москву Сити.  Дом бизнес-класса с охраняемой территорией, Дом охраняется по периметру и имеет два въезда со шлагбаумом. Есть 2-х уровневая подземная парковка, а так же бесплатная парковка во дворе. Дом имеет свою собственную облагороженную территорию с беседкой, туями, детской площадкой, и зонами отдыха. Рядом продуктовый магазин Магнолия, Пятёрочка, Вкус Вилл, Перекрёсток, Магнит. Место расположения дома является самым выгодным из мест по транспортной развязке. В этой локации практически не бывает пробок. Дом расположен рядом со станцией метро Фили и Багратионовская, всего в 7-ми минутах пешком ом метро, МЦД Фили D1 в 10-ти минутах пешком. Всё, что необходимо для жизни, расположено в шаговой доступности: детские сады, школа, поликлиника для детей и взрослых, продуктовые магазины физкультурно-оздоровительный центр с бассейном, отделение почты, стадион Фили. При выходе из дома попадаешь в парк Фили и детский парк Фили. Район Филевского парка богат инфраструктурой: недалеко расположена Романовская школа с углублением иностранных языков, а также, образовательный центр Протон, торговые центры и спорткомплекс с бассейном. От дома, до сердца города Москва Сити и ТРК Афимолл Сити, на общественном транспорте можно доехать за 10 минут. Оперативный показ. Ипотека.;Багратионовская 711 м;https://st09.domofond.ru/image/1/1.jHLar7axsppujChZa667YpFQIptoGiaZ.qXYIJ499G5ydVv9qV6G6koLhcxNRGIQrBD646BGr6uk;https://www.domofond.ru/3-komnatnaya-kvartira-na-prodazhu-moskva-4427713961
3-комн. квартира, 76 м², 11/19 эт.;16 000 000 ₽;210 526 ₽ за м²;Москва, Синявинская улица, 11к15, подъезд 3;"Продаю СВОЮ квартиру! БЕЗ КОМИССИИ!!!ПРОПИСКА МОСКВА!!!Большая 3-х комнатная квартира с прекрасным видом на пруд по ул.Синявинская д.11,корпус.15.  Квартира светлая, с хорошим евро ремонтом, в котором все сделано для максимального удобства и продумано до мелочей.Использовали только дорогие качественные материалы, т.к. делали для себя. Мебель и техника останется при желании новому хозяину. Все комнаты в квартире изолированные,все окна выходят на зону отдыха и стадион, на стенах жидкие шелковые обои, большая кухня, 2 санузла в кафеле, душевая ширма, огромная ( 6 м ), утеплённая лоджия имеет два выхода- из кухни и из комнаты .Во дворе школа ""Перспектива"" с классами углубленного изучения (математика, изо и гуманитарный), два детских садика, поликлиника, стадион, современные детские и спортивные площадки с резиновым покрытием.Все магазины и торговые центры рядом. Хорошая транспортная доступность: от центра города (ост. Комсомольская), 30 мин на электропоезде до Ленинградского вокзала (10 мин. пешком до платформы Подрезково); - автобусом 20 мин от метро Ховрино на муниципальном маршруте 283 (без промежуточных остановок по платной дороге М11) до ост.1я Сестрорецкая. Также от дома идут автобусы до м. Планерная, Речной Вокзал, Водный Стадион, Войковская и а/п Шереметьево. Рядом выезд на Ленинградское шоссе и М-11. До м.Шереметьево 15 мин на  автобусе. Один взрослый собственник,быстрый выход на сделку. В собственности МЕНЕЕ 5 лет!!!Потенциальные покупатели,звоните и приходите смотреть! Вы сразу влюбитесь в нашу квартиру! ТАКОГО ВЕЛИКОЛЕПНОГО ВИДА ИЗ ОКОН  вы просто нигде не найдете!!!  АГЕНТЫ! Пожалуйста,не тратьте ни мое,ни свое время!!! ЗВОНИТЕ ТОЛЬКО ТОГДА,КОГДА У ВАС  ЕСТЬ КОНКРЕТНЫЕ КЛИЕНТЫ.Оперативно показываю в любое удобное время.ПИШИТЕ!!!!Временно звонки только через Авито.";;https://st46.domofond.ru/image/1/vySEO7axgcwwGBsPNVz4ZenXEc02jhXP;https://www.domofond.ru/3-komnatnaya-kvartira-na-prodazhu-moskva-3333407585
3-комн. квартира, 99.51 м²;32 144 715 ₽;323 030 ₽ за м²;ул. Княжнина/пер. Солдатский;Новостройка бизнес-класса расположена в престижном историческом районе недалеко от реки Яуза. В ее концепции воплощены все преимущества респектабельной застройки: привилегированный уровень сервиса, новейшие системы безопасности с системой контроля допуска, двухуровневый подземный паркинг и уникальное благоустройство территории.На первых этажах нового корпуса предусмотрены коммерческие помещения под целевую аренду, где в будущем для жителей откроются уютные кафе, тематические рестораны, магазины и бытовые службы.Рядом с ЖК «Лефорт» открыт транспортно-пересадочный узел, который включает в себя не только новую станцию метро «Лефортово», но и остановки наземного транспорта, автомобильную стоянку.;Сортировочная 1.0 км;https://st41.domofond.ru/image/1/3EslR7ax1qORZHhglGamIBO8cqKX8nag;https://www.domofond.ru/3-komnatnaya-kvartira-zhk_lefort-moskva-u1004540209
